x t u
0.078125 0.1875 0.262719
0.0859375 0.179688 0.287603
0.09375 0.179688 0.313022
0.0859375 0.1875 0.288379
0.09375 0.1875 0.313866
0.101562 0.164062 0.336389
0.109375 0.164062 0.361277
0.101562 0.171875 0.337326
0.109375 0.171875 0.362284
0.117188 0.164062 0.385947
0.125 0.164062 0.410386
0.117188 0.171875 0.387023
0.125 0.171875 0.411529
0.101562 0.179688 0.338251
0.109375 0.179688 0.363277
0.101562 0.1875 0.339164
0.109375 0.1875 0.364257
0.117188 0.179688 0.388084
0.125 0.179688 0.412658
0.117188 0.1875 0.389131
0.125 0.1875 0.413771
0 0.195312 0
0.0078125 0.195312 0.0266053
0.015625 0.195312 0.0531946
0 0.203125 0
0.0078125 0.203125 0.0266748
0.015625 0.203125 0.0533335
0.0234375 0.195312 0.0797518
0.03125 0.195312 0.106261
0.0234375 0.203125 0.0799601
0.03125 0.203125 0.106538
0 0.210938 0
0.0078125 0.210938 0.0267433
0.015625 0.210938 0.0534705
0 0.21875 0
0.0078125 0.21875 0.0268109
0.015625 0.21875 0.0536057
0.0234375 0.210938 0.0801655
0.03125 0.210938 0.106812
0.0234375 0.21875 0.0803682
0.03125 0.21875 0.107082
0.0390625 0.195312 0.132706
0.046875 0.195312 0.159071
0.0390625 0.203125 0.133053
0.046875 0.203125 0.159487
0.0546875 0.195312 0.185341
0.0625 0.195312 0.211499
0.0546875 0.203125 0.185825
0.0625 0.203125 0.212051
0.0390625 0.210938 0.133395
0.046875 0.210938 0.159897
0.0390625 0.21875 0.133732
0.046875 0.21875 0.160301
0.0546875 0.210938 0.186302
0.0625 0.210938 0.212596
0.0546875 0.21875 0.186773
0.0625 0.21875 0.213133
0 0.226562 0
0.0078125 0.226562 0.0268776
0.015625 0.226562 0.053739
0 0.234375 0
0.0078125 0.234375 0.0269433
0.015625 0.234375 0.0538704
0.0234375 0.226562 0.080568
0.03125 0.226562 0.107349
0.0234375 0.234375 0.0807651
0.03125 0.234375 0.107611
0 0.242188 0
0.0078125 0.242188 0.0270082
0.015625 0.242188 0.054
0 0.25 0
0.0078125 0.25 0.0270721
0.015625 0.25 0.0541278
0.0234375 0.242188 0.0809594
0.03125 0.242188 0.10787
0.0234375 0.25 0.0811509
0.03125 0.25 0.108125
0.0390625 0.226562 0.134064
0.046875 0.226562 0.160699
0.0390625 0.234375 0.134392
0.046875 0.234375 0.161092
