x y t u
0.1875 0.0625 0.21875 0.626317
0.15625 0 0.25 0.595003
0.15625 0.03125 0.25 0.611701
0.1875 0 0.25 0.602353
0.1875 0.03125 0.25 0.619471
0.15625 0.0625 0.25 0.628592
0.1875 0.0625 0.25 0.6368
0.21875 0 0.21875 0.600878
0.21875 0.03125 0.21875 0.617795
0.25 0 0.21875 0.608057
0.25 0.03125 0.21875 0.625386
0.21875 0.0625 0.21875 0.634906
0.25 0.0625 0.21875 0.642926
0.21875 0 0.25 0.609161
0.21875 0.03125 0.25 0.626673
0.25 0 0.25 0.615385
0.25 0.03125 0.25 0.633261
0.21875 0.0625 0.25 0.644413
0.25 0.0625 0.25 0.65138
0.15625 0.09375 0.21875 0.63351
0.1875 0.09375 0.21875 0.643105
0.15625 0.125 0.21875 0.649867
0.1875 0.125 0.21875 0.659967
0.15625 0.09375 0.25 0.64563
0.1875 0.09375 0.25 0.654291
0.15625 0.125 0.25 0.662759
0.1875 0.125 0.25 0.671889
0.21875 0.09375 0.21875 0.652164
0.25 0.09375 0.21875 0.660628
0.21875 0.125 0.21875 0.669511
0.25 0.125 0.21875 0.678434
0.21875 0.09375 0.25 0.66233
0.25 0.09375 0.25 0.669692
0.21875 0.125 0.25 0.680369
0.25 0.125 0.25 0.68814
0 0.15625 0.15625 0.583953
0.03125 0.15625 0.15625 0.597538
0.0625 0.15625 0.15625 0.611041
0 0.1875 0.15625 0.595605
0.03125 0.1875 0.15625 0.609743
0.0625 0.1875 0.15625 0.623809
0 0.15625 0.1875 0.593427
0.03125 0.15625 0.1875 0.606467
0.0625 0.15625 0.1875 0.619344
0 0.1875 0.1875 0.605993
0.03125 0.1875 0.1875 0.619597
0.0625 0.1875 0.1875 0.633043
0.09375 0.15625 0.15625 0.624408
0.125 0.15625 0.15625 0.637579
0.09375 0.1875 0.15625 0.637746
0.125 0.1875 0.15625 0.651492
0.09375 0.15625 0.1875 0.632
0.125 0.15625 0.1875 0.644373
0.09375 0.1875 0.1875 0.646271
